日付,コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
20210430,8215,銀座山形屋,JASDAQ(スタンダード・内国株）,6100,小売業,14,小売 ,,
20210430,8217,オークワ,市場第一部（内国株）,6100,小売業,14,小売 ,7,TOPIX Small 2
20210430,8218,コメリ,市場第一部（内国株）,6100,小売業,14,小売 ,6,TOPIX Small 1
20210430,8219,青山商事,市場第一部（内国株）,6100,小売業,14,小売 ,6,TOPIX Small 1
20210430,8225,タカチホ,JASDAQ(スタンダード・内国株）,6050,卸売業,13,商社・卸売 ,,
20210430,8226,理経,市場第二部（内国株）,6050,卸売業,13,商社・卸売 ,,
20210430,8227,しまむら,市場第一部（内国株）,6100,小売業,14,小売 ,4,TOPIX Mid400
20210430,8230,はせがわ,市場第一部（内国株）,6100,小売業,14,小売 ,7,TOPIX Small 2
20210430,8233,高島屋,市場第一部（内国株）,6100,小売業,14,小売 ,4,TOPIX Mid400
20210430,8237,松屋,市場第一部（内国株）,6100,小売業,14,小売 ,6,TOPIX Small 1
20210430,8242,エイチ・ツー・オー　リテイリング,市場第一部（内国株）,6100,小売業,14,小売 ,6,TOPIX Small 1
20210430,8244,近鉄百貨店,市場第一部（内国株）,6100,小売業,14,小売 ,7,TOPIX Small 2
20210430,8247,大和,市場第二部（内国株）,6100,小売業,14,小売 ,,
20210430,8249,テクノアソシエ,市場第二部（内国株）,6050,卸売業,13,商社・卸売 ,,
20210430,8252,丸井グループ,市場第一部（内国株）,6100,小売業,14,小売 ,4,TOPIX Mid400
20210430,8253,クレディセゾン,市場第一部（内国株）,7200,その他金融業,16,金融（除く銀行） ,4,TOPIX Mid400
20210430,8254,さいか屋,市場第二部（内国株）,6100,小売業,14,小売 ,,
20210430,8255,アクシアル　リテイリング,市場第一部（内国株）,6100,小売業,14,小売 ,7,TOPIX Small 2
20210430,8256,プロルート丸光,JASDAQ(スタンダード・内国株）,6050,卸売業,13,商社・卸売 ,,
20210430,8260,井筒屋,市場第一部（内国株）,6100,小売業,14,小売 ,7,TOPIX Small 2
20210430,8267,イオン,市場第一部（内国株）,6100,小売業,14,小売 ,2,TOPIX Large70
20210430,8273,イズミ,市場第一部（内国株）,6100,小売業,14,小売 ,4,TOPIX Mid400
